study_name,dataset_name,variable_name,concept_name
gip,GIP_W35_V1,id_g,id_g
gip,GIP_W35_V1,hhid_g,hhid_g
gip,GIP_W35_V1,pid,pid
gip,GIP_W35_V1,gender_17,gender_17
gip,GIP_W35_V1,year_of_birth_cat_17,year_of_birth_cat_17
gip,GIP_W35_V1,educ_school_17,educ_school_17
gip,GIP_W35_V1,educ_job_17,educ_job_17
gip,GIP_W35_V1,marital_status_17,marital_status_17
gip,GIP_W35_V1,number_hh_members_17,number_hh_members_17
gip,GIP_W35_V1,occupation_17,occupation_17
gip,GIP_W35_V1,german_citizenship_17,german_citizenship_17
gip,GIP_W35_V1,internet_usage_17,internet_usage_17
gip,GIP_W35_V1,state_17,state_17
gip,GIP_W35_V1,sample,sample
gip,GIP_W35_V1,dDatum,dDatum
gip,GIP_W35_V1,online_status_wave,online_status_wave
gip,GIP_W35_V1,RM35001,RMxx001
gip,GIP_W35_V1,RM35002_a,RMxx002_a
gip,GIP_W35_V1,RM35002_b,RMxx002_b
gip,GIP_W35_V1,RM35002_c,RMxx002_c
gip,GIP_W35_V1,RM35002_d,RMxx002_d
gip,GIP_W35_V1,RM35002_e,RMxx002_e
gip,GIP_W35_V1,RM35002_f,RMxx002_f
gip,GIP_W35_V1,RM35002_g,RMxx002_g
gip,GIP_W35_V1,RM35002_h,RMxx002_h
gip,GIP_W35_V1,RM35003,RMxx003
gip,GIP_W35_V1,RM35004,RMxx004
gip,GIP_W35_V1,RM35005_a,RMxx005_a
gip,GIP_W35_V1,RM35005_b,RMxx005_b
gip,GIP_W35_V1,RM35005_c,RMxx005_c
gip,GIP_W35_V1,RM35005_d,RMxx005_d
gip,GIP_W35_V1,RM35005_e,RMxx005_e
gip,GIP_W35_V1,RM35005_f,RMxx005_f
gip,GIP_W35_V1,RM35005_g,RMxx005_g
gip,GIP_W35_V1,RM35005_h,RMxx005_h
gip,GIP_W35_V1,RM35005_i,RMxx005_i
gip,GIP_W35_V1,RM35005_j,RMxx005_j
gip,GIP_W35_V1,RM35006,RMxx006
gip,GIP_W35_V1,RM35007,RMxx007
gip,GIP_W35_V1,expRM35008,expRMxx008
gip,GIP_W35_V1,RM35008,RMxx008
gip,GIP_W35_V1,RM35009,RMxx009
gip,GIP_W35_V1,RM35010,RMxx010
gip,GIP_W35_V1,RM35011,RMxx011
gip,GIP_W35_V1,RM35012,RMxx012
gip,GIP_W35_V1,RM35013,RMxx013
gip,GIP_W35_V1,RM35014,RMxx014
gip,GIP_W35_V1,RM35015,RMxx015
gip,GIP_W35_V1,RM35016,RMxx016
gip,GIP_W35_V1,RM35017,RMxx017
gip,GIP_W35_V1,RM35018,RMxx018
gip,GIP_W35_V1,RM35019,RMxx019
gip,GIP_W35_V1,RM35020_a,RMxx020_a
gip,GIP_W35_V1,RM35020_b,RMxx020_b
gip,GIP_W35_V1,RM35020_c,RMxx020_c
gip,GIP_W35_V1,RM35020_d,RMxx020_d
gip,GIP_W35_V1,RM35020_e,RMxx020_e
gip,GIP_W35_V1,RM35020_f,RMxx020_f
gip,GIP_W35_V1,RM35020_g,RMxx020_g
gip,GIP_W35_V1,RM35020_h,RMxx020_h
gip,GIP_W35_V1,RM35020_i,RMxx020_i
gip,GIP_W35_V1,RM35020_j,RMxx020_j
gip,GIP_W35_V1,RM35021_a,RMxx021_a
gip,GIP_W35_V1,RM35021_b,RMxx021_b
gip,GIP_W35_V1,RM35021_c,RMxx021_c
gip,GIP_W35_V1,RM35021_d,RMxx021_d
gip,GIP_W35_V1,RM35021_e,RMxx021_e
gip,GIP_W35_V1,RM35021_f,RMxx021_f
gip,GIP_W35_V1,RM35021_g,RMxx021_g
gip,GIP_W35_V1,RM35021_h,RMxx021_h
gip,GIP_W35_V1,RM35021_i,RMxx021_i
gip,GIP_W35_V1,RM35021_j,RMxx021_j
gip,GIP_W35_V1,RM35022_a,RMxx022_a
gip,GIP_W35_V1,RM35022_b,RMxx022_b
gip,GIP_W35_V1,RM35022_c,RMxx022_c
gip,GIP_W35_V1,RM35022_d,RMxx022_d
gip,GIP_W35_V1,RM35022_e,RMxx022_e
gip,GIP_W35_V1,RM35022_f,RMxx022_f
gip,GIP_W35_V1,RM35022_g,RMxx022_g
gip,GIP_W35_V1,RM35022_h,RMxx022_h
gip,GIP_W35_V1,RM35022_i,RMxx022_i
gip,GIP_W35_V1,RM35022_j,RMxx022_j
gip,GIP_W35_V1,RM35022_k,RMxx022_k
gip,GIP_W35_V1,RM35023,RMxx023
gip,GIP_W35_V1,RM35024,RMxx024
gip,GIP_W35_V1,CE35304,CExx304
gip,GIP_W35_V1,rndCE35250,rndCExx250
gip,GIP_W35_V1,CE35250,CExx250
gip,GIP_W35_V1,CE35252,CExx252
gip,GIP_W35_V1,CE35254,CExx254
gip,GIP_W35_V1,CE35256,CExx256
gip,GIP_W35_V1,CE35258,CExx258
gip,GIP_W35_V1,CE35260,CExx260
gip,GIP_W35_V1,CE35262,CExx262
gip,GIP_W35_V1,rndZJ35030,rndZJxx030
gip,GIP_W35_V1,ZJ35030,ZJxx030
gip,GIP_W35_V1,ZJ35031,ZJxx031
gip,GIP_W35_V1,QE35001,QExx001
gip,GIP_W35_V1,QE35002,QExx002
gip,GIP_W35_V1,QE35003,QExx003
gip,GIP_W35_V1,QE35004,QExx004
gip,GIP_W35_V1,QE35005,QExx005
gip,GIP_W35_V1,QE35006,QExx006
gip,GIP_W35_V1,QE35007,QExx007
gip,GIP_W35_V1,QE35008_TXT_na,QExx008_TXT_na
gip,GIP_W36_V1,id_g,id_g
gip,GIP_W36_V1,hhid_g,hhid_g
gip,GIP_W36_V1,pid,pid
gip,GIP_W36_V1,gender_17,gender_17
gip,GIP_W36_V1,year_of_birth_cat_17,year_of_birth_cat_17
gip,GIP_W36_V1,educ_school_17,educ_school_17
gip,GIP_W36_V1,educ_job_17,educ_job_17
gip,GIP_W36_V1,marital_status_17,marital_status_17
gip,GIP_W36_V1,number_hh_members_17,number_hh_members_17
gip,GIP_W36_V1,occupation_17,occupation_17
gip,GIP_W36_V1,german_citizenship_17,german_citizenship_17
gip,GIP_W36_V1,internet_usage_17,internet_usage_17
gip,GIP_W36_V1,state_17,state_17
gip,GIP_W36_V1,sample,sample
gip,GIP_W36_V1,dDatum,dDatum
gip,GIP_W36_V1,online_status_wave,online_status_wave
gip,GIP_W36_V1,expCG36098,expCGxx098
gip,GIP_W36_V1,CG36099,CGxx099
gip,GIP_W36_V1,CG36100,CGxx100
gip,GIP_W36_V1,CG36101,CGxx101
gip,GIP_W36_V1,CG36102,CGxx102
gip,GIP_W36_V1,ZH36032,ZHxx032
gip,GIP_W36_V1,rndCG36001,rndCGxx001
gip,GIP_W36_V1,CG36001,CGxx001
gip,GIP_W36_V1,CG36003,CGxx003
gip,GIP_W36_V1,CG36004,CGxx004
gip,GIP_W36_V1,CG36005,CGxx005
gip,GIP_W36_V1,CG36006,CGxx006
gip,GIP_W36_V1,CG36007,CGxx007
gip,GIP_W36_V1,expCG36095,expCGxx095
gip,GIP_W36_V1,CG36095,CGxx095
gip,GIP_W36_V1,expCG36096,expCGxx096
gip,GIP_W36_V1,CG36096,CGxx096
gip,GIP_W36_V1,expCD36129,expCDxx129
gip,GIP_W36_V1,CD36129,CDxx129
gip,GIP_W36_V1,expCD36130,expCDxx130
gip,GIP_W36_V1,CD36131,CDxx131
gip,GIP_W36_V1,CD36132,CDxx132
gip,GIP_W36_V1,expCD36133,expCDxx133
gip,GIP_W36_V1,CD36134,CDxx134
gip,GIP_W36_V1,AC36184,ACxx184
gip,GIP_W36_V1,AC36185,ACxx185
gip,GIP_W36_V1,AC36186,ACxx186
gip,GIP_W36_V1,AC36187,ACxx187
gip,GIP_W36_V1,AC36188,ACxx188
gip,GIP_W36_V1,AC36189,ACxx189
gip,GIP_W36_V1,AC36190,ACxx190
gip,GIP_W36_V1,AC36191,ACxx191
gip,GIP_W36_V1,AC36192,ACxx192
gip,GIP_W36_V1,AC36193,ACxx193
gip,GIP_W36_V1,AC36194,ACxx194
gip,GIP_W36_V1,AA36005,AAxx005
gip,GIP_W36_V1,AC33058,ACxx058
gip,GIP_W36_V1,expAC36058,expACxx058
gip,GIP_W36_V1,AC36058,ACxx058
gip,GIP_W36_V1,AC36194_TXT_na,ACxx194_TXT_na
gip,GIP_W36_V1,AC33067,ACxx067
gip,GIP_W36_V1,expAC36067,expACxx067
gip,GIP_W36_V1,AC36067,ACxx067
gip,GIP_W36_V1,AC36195_TXT_na,ACxx195_TXT_na
gip,GIP_W36_V1,CF36076,CFxx076
gip,GIP_W36_V1,expCF36077,expCFxx077
gip,GIP_W36_V1,CF36078,CFxx078
gip,GIP_W36_V1,CF36079,CFxx079
gip,GIP_W36_V1,CF36080,CFxx080
