name,label,period,description,analysis_unit,dataset_name,study,questionnaire
Recruitment-18-I,GIP Recruitment Questionnaire Part 1,2018/09/13 - 2019/02/28,"[b[General information for data users]b]
The Recruitment 2018 Part 1 dataset contains the following identifiers and study specific information:
• [i[id_g]i] - Unique ID, GIP
• [i[hhid_g]i] - Household identifyer, GIP
• [i[pid]i] - Person identifyer (within HH)
• [i[dDatum]i] - Interview-Datum
• [i[mode]i] - Participation Mode Recruitment Part 1
• [i[recruitment_group_2018]i] - Gruppen Registrierung 2018
[u[Please note:]u] the documentation of the recruitment questionnaires is available in German language only.",p,GIP_Rekrutierung2018_Teil1_V1,gip,Recruitment-18-I
Recruitment-18-II,GIP Recruitment Questionnaire Part 2,2018/09/13 - 2019/02/28,"[b[General information for data users]b]
The Recruitment 2018 Part 2 dataset contains the following  identifiers and study specific information:
• [i[id_g]i] - Unique ID, GIP
• [i[hhid_g]i] - Household identifyer, GIP
• [i[pid]i] - Person identifyer (within HH)
• [i[dDatum]i] - Interview-Datum
[u[Please note:]u] the documentation of the recruitment questionnaires is available in German language only.",p,GIP_Rekrutierung2018_Teil2_V1,gip,Recruitment-18-II
W01,GIP Wave 01,2012/09,"[b[Allgemeine Hinweise für Datennutzer]b]
Der Datensatz der Welle 01 enthält folgende zugespielte Variablen:
• [i[id_g]i] - Unique ID, GIP
• [i[hhid_g]i] - Household identifyer, GIP
• [i[pid]i] - Person identifyer (within HH)
• [i[gender_12]i] - gender
• [i[year_of_birth_cat]i] - year of birth categories
• [i[educ_school_12]i] - highest educational degree
• [i[educ_job_12]i] - highest professional qualification
• [i[state]i] - residence state
• [i[german_citizenship_12]i] - german citizenship
• [i[internet_usage_12]i] - private internet usage
• [i[dDatum]i] - Interview-Datum",p,GIP_W01_V5,gip,W01
W02,GIP Wave 02,2012/11,"[b[Allgemeine Hinweise für Datennutzer]b]
Der Datensatz der Welle 02 enthält folgende zugespielte Variablen:
• [i[id_g]i] - Unique ID, GIP
• [i[hhid_g]i] - Household identifyer, GIP
• [i[pid]i] - Person identifyer (within HH)
• [i[gender_12]i] - gender
• [i[year_of_birth_cat]i] - year of birth categories
• [i[educ_school_12]i] - highest educational degree
• [i[educ_job_12]i] - highest professional qualification
• [i[marital_status_12]i] - marital status
• [i[number_hh_members_12]i] - number of household members
• [i[occupation_12]i] - employment status
• [i[state]i] - residence state
• [i[german_citizenship_12]i] - german citizenship
• [i[internet_usage_12]i] - private internet usage
• [i[dDatum]i] - Interview-Datum",p,GIP_W02_V6,gip,W02
W03,GIP Wave 03,2013/01,"[b[Allgemeine Hinweise für Datennutzer]b] 
Der Datensatz der Welle 03 enthält folgende zugespielte Variablen:
• [i[id_g]i] - Unique ID, GIP
• [i[hhid_g]i] - Household identifyer, GIP
• [i[pid]i] - Person identifyer (within HH)
• [i[gender_12]i] - gender
• [i[year_of_birth_cat]i] - year of birth categories
• [i[educ_school_12]i] - highest educational degree
• [i[educ_job_12]i] - highest professional qualification
• [i[marital_status_12]i] - marital status
• [i[number_hh_members_12]i] - number of household members
• [i[occupation_12]i] - employment status
• [i[state]i] - residence state
• [i[german_citizenship_12]i] - german citizenship
• [i[internet_usage_12]i] - private internet usage
• [i[dDatum]i] - Interview-Datum",p,GIP_W03_V6,gip,W03
W04,GIP Wave 04,2013/03,"[b[Allgemeine Hinweise für Datennutzer]b] 
Der Datensatz der Welle 04 enthält folgende zugespielte Variablen:
• [i[id_g]i] - Unique ID, GIP
• [i[hhid_g]i] - Household identifyer, GIP
• [i[pid]i] - Person identifyer (within HH)
• [i[gender_12]i] - gender
• [i[year_of_birth_cat]i] - year of birth categories
• [i[educ_school_12]i] - highest educational degree
• [i[educ_job_12]i] - highest professional qualification
• [i[marital_status_12]i] - marital status
• [i[number_hh_members_12]i] - number of household members
• [i[occupation_12]i] - employment status
• [i[state]i] - residence state
• [i[german_citizenship_12]i] - german citizenship
• [i[internet_usage_12]i] - private internet usage
• [i[dDatum]i] - Interview-Datum",p,GIP_W04_V4,gip,W04
W05,GIP Wave 05,2013/05,"[b[Allgemeine Hinweise für Datennutzer]b] 
Der Datensatz der Welle 05 enthält folgende zugespielte Variablen:
• [i[id_g]i] - Unique ID, GIP
• [i[hhid_g]i] - Household identifyer, GIP
• [i[pid]i] - Person identifyer (within HH)
• [i[gender_12]i] - gender
• [i[year_of_birth_cat]i] - year of birth categories
• [i[educ_school_12]i] - highest educational degree
• [i[educ_job_12]i] - highest professional qualification
• [i[marital_status_12]i] - marital status
• [i[number_hh_members_12]i] - number of household members
• [i[occupation_12]i] - employment status
• [i[state]i] - residence state
• [i[german_citizenship_12]i] - german citizenship
• [i[internet_usage_12]i] - private internet usage
• [i[dDatum]i] - Interview-Datum",p,GIP_W05_V5,gip,W05
W06,GIP Wave 06,2013/07,"[b[Allgemeine Hinweise für Datennutzer]b] 
Der Datensatz der Welle 06 enthält folgende zugespielte Variablen:
• [i[id_g]i] - Unique ID, GIP
• [i[hhid_g]i] - Household identifyer, GIP
• [i[pid]i] - Person identifyer (within HH)
• [i[gender_12]i] - gender
• [i[year_of_birth_cat]i] - year of birth categories
• [i[educ_school_12]i] - highest educational degree
• [i[educ_job_12]i] - highest professional qualification
• [i[marital_status_12]i] - marital status
• [i[number_hh_members_12]i] - number of household members
• [i[occupation_12]i] - employment status
• [i[state]i] - residence state
• [i[german_citizenship_12]i] - german citizenship
• [i[internet_usage_12]i] - private internet usage
• [i[dDatum]i] - Interview-Datum",p,GIP_W06_V5,gip,W06
W07,GIP Wave 07,2013/09,"[b[Allgemeine Hinweise für Datennutzer]b] 
Der Datensatz der Welle 07 enthält folgende zugespielte Variablen:
• [i[id_g]i] - Unique ID, GIP
• [i[hhid_g]i] - Household identifyer, GIP
• [i[pid]i] - Person identifyer (within HH)
• [i[gender_13]i] - gender
• [i[year_of_birth_cat]i] - year of birth categories
• [i[educ_school_13]i] - highest educational degree
• [i[educ_job_13]i] - highest professional qualification
• [i[marital_status_13]i] - marital status
• [i[number_hh_members_13]i] - number of household members
• [i[occupation_13]i] - employment status
• [i[state]i] - residence state
• [i[german_citizenship_13]i] - german citizenship
• [i[internet_usage_13]i] - private internet usage
• [i[dDatum]i] - Interview-Datum",p,GIP_W07_V4,gip,W07
W08,GIP Wave 08,2013/11,"[b[Allgemeine Hinweise für Datennutzer]b] 
Der Datensatz der Welle 08 enthält folgende zugespielte Variablen:
• [i[id_g]i] - Unique ID, GIP
• [i[hhid_g]i] - Household identifyer, GIP
• [i[pid]i] - Person identifyer (within HH)
• [i[gender_13]i] - gender
• [i[year_of_birth_cat]i] - year of birth categories
• [i[educ_school_13]i] - highest educational degree
• [i[educ_job_13]i] - highest professional qualification
• [i[marital_status_13]i] - marital status
• [i[number_hh_members_13]i] - number of household members
• [i[occupation_13]i] - employment status
• [i[state]i] - residence state
• [i[german_citizenship_13]i] - german citizenship
• [i[internet_usage_13]i] - private internet usage
• [i[dDatum]i] - Interview-Datum",p,GIP_W08_V5,gip,W08
